"Ich erkläre mich freiwillig dazu bereit, an der oben genannten Studie teilzunehmen. Die Ziele der Studie, Datenschutzbestimmungen und meine Rechte wurden ausführlich erläutert und sind mir verständlich. (n = 10)";"Answer";"Count";"%";"Value"
"";"Ja";"10";"100";"1"
"";"Nein";"0";"0";"2"
"";"";"";"";""
"";"Average";"";"";"1"
"";"Standard Deviation";"";"";"0"
"";"";"";"";""
" In welchem Kurs sind Sie eingeschrieben? (n = 10)";"Answer";"Count";"%";"Value"
"";"21-NFS-09";"1";"10";"1"
"";"22-NFS-09";"4";"40";"2"
"";"23-NFS-09";"5";"50";"3"
"";"";"0";"0";"4"
"";"";"";"";""
"";"Average";"";"";"2.4"
"";"Standard Deviation";"";"";"0.66"
"";"";"";"";""
"Mit welchem Geschlecht identifizieren Sie sich? (n = 10)";"Answer";"Count";"%";"Value"
"";"divers";"0";"0";"1"
"";"männlich";"6";"60";"2"
"";"ohne Angabe";"1";"10";"3"
"";"weiblich";"3";"30";"4"
"";"";"";"";""
"";"Average";"";"";"2.7"
"";"Standard Deviation";"";"";"0.9"
"";"";"";"";""
"Ich habe an dem Eye-Tracking-Versuch teilgenommen oder werde dieses noch tun. (n = 10)";"Answer";"Count";"%";"Value"
"";"Ja";"7";"70";"1"
"";"Nein";"3";"30";"2"
"";"";"";"";""
"";"Average";"";"";"1.3"
"";"Standard Deviation";"";"";"0.46"
"";"";"";"";""
"Wie werden komplexe Themen im LMS aufbereitet und wie beeinflusst das Ihre Lernprozesse? (n = 8)";"Description";"Rating";"Count";"%"
"";"sehr schlecht";"1";"0";"0"
"";"";"2";"1";"12.5"
"";"";"3";"4";"50"
"";"";"4";"3";"37.5"
"";"sehr gut";"5";"0";"0"
"";"";"";"";""
"";"Average";"3.25";"";""
"";"Standard Deviation";"0.66";"";""
"";"";"";"";""
"Welche Rolle spielen multimediale Inhalte im LMS für Ihr Verständnis? (n = 8)";"Description";"Rating";"Count";"%"
"";"keine Rolle";"1";"0";"0"
"";"";"2";"0";"0"
"";"";"3";"3";"37.5"
"";"";"4";"2";"25"
"";"sehr wichtige Rolle";"5";"3";"37.5"
"";"";"";"";""
"";"Average";"4";"";""
"";"Standard Deviation";"0.87";"";""
"";"";"";"";""
"Wie bewerten Sie die Klarheit und Struktur der im LMS präsentierten Informationen? (n = 8)";"Description";"Rating";"Count";"%"
"";"sehr unklar/unstruktuiert";"1";"1";"12.5"
"";"";"2";"3";"37.5"
"";"";"3";"1";"12.5"
"";"";"4";"0";"0"
"";"sehr klar/struktuiert";"5";"3";"37.5"
"";"";"";"";""
"";"Average";"3.13";"";""
"";"Standard Deviation";"1.54";"";""
"";"";"";"";""
"Auf welche Weise fördert das LMS aktive Diskussionen und Austausch mit anderen? (n = 8)";"Description";"Rating";"Count";"%"
"";"fördert gar nicht";"1";"0";"0"
"";"";"2";"1";"12.5"
"";"";"3";"2";"25"
"";"";"4";"4";"50"
"";"fördert sehr stark";"5";"1";"12.5"
"";"";"";"";""
"";"Average";"3.63";"";""
"";"Standard Deviation";"0.86";"";""
"";"";"";"";""
"Wie unterstützt das LMS Gruppenarbeit und Kollaboration unter den Lernenden? (n = 8)";"Description";"Rating";"Count";"%"
"";"unterstützt gar nicht";"1";"0";"0"
"";"";"2";"1";"12.5"
"";"";"3";"1";"12.5"
"";"";"4";"3";"37.5"
"";"unterstützt sehr stark";"5";"3";"37.5"
"";"";"";"";""
"";"Average";"4";"";""
"";"Standard Deviation";"1";"";""
"";"";"";"";""
"Welchen Einfluss hat die Benutzeroberfläche des LMS auf Ihre Interaktionsmöglichkeiten? (n = 8)";"Description";"Rating";"Count";"%"
"";"keinen Einfluss";"1";"1";"12.5"
"";"";"2";"3";"37.5"
"";"";"3";"1";"12.5"
"";"";"4";"1";"12.5"
"";"sehr großen Einfluss";"5";"2";"25"
"";"";"";"";""
"";"Average";"3";"";""
"";"Standard Deviation";"1.41";"";""
"";"";"";"";""
"Wie zeitnah und hilfreich ist das Feedback, das Sie im LMS erhalten?"" (n = 8)";"Description";"Rating";"Count";"%"
"";"sehr unzeitnah/unhilfreich";"1";"1";"12.5"
"";"";"2";"2";"25"
"";"";"3";"1";"12.5"
"";"";"4";"3";"37.5"
"";"sehr zeitnah/hilfreich";"5";"1";"12.5"
"";"";"";"";""
"";"Average";"3.13";"";""
"";"Standard Deviation";"1.27";"";""
"";"";"";"";""
"Inwiefern unterstützen die Bewertungssysteme im LMS Ihr Verständnis über Ihren Lernfortschritt? (n = 8)";"Description";"Rating";"Count";"%"
"";"unterstützen gar nicht";"1";"1";"12.5"
"";"";"2";"0";"0"
"";"";"3";"3";"37.5"
"";"";"4";"4";"50"
"";"unterstützen sehr stark";"5";"0";"0"
"";"";"";"";""
"";"Average";"3.25";"";""
"";"Standard Deviation";"0.97";"";""
"";"";"";"";""
"Welche Rolle spielen Selbstbewertungstools im LMS für Ihre Selbsteinschätzung? (n = 8)";"Description";"Rating";"Count";"%"
"";"spielen keine Rolle";"1";"0";"0"
"";"";"2";"1";"12.5"
"";"";"3";"2";"25"
"";"";"4";"3";"37.5"
"";"spielen sehr wichtige Rolle";"5";"2";"25"
"";"";"";"";""
"";"Average";"3.75";"";""
"";"Standard Deviation";"0.97";"";""
"";"";"";"";""
"Wie passt sich das LMS an Ihre individuellen Lernbedürfnisse an?"" (n = 8)";"Description";"Rating";"Count";"%"
"";" passt sich gar nicht an";"1";"2";"25"
"";"";"2";"3";"37.5"
"";"";"3";"2";"25"
"";"";"4";"1";"12.5"
"";" passt sich sehr gut an";"5";"0";"0"
"";"";"";"";""
"";"Average";"2.25";"";""
"";"Standard Deviation";"0.97";"";""
"";"";"";"";""
"Gibt es Möglichkeiten im LMS, Lerninhalte nach Ihren Interessen und Stärken zu personalisieren?"" (n = 8)";"Answer";"Count";"%";"Value"
"";"Ja";"5";"62.5";"1"
"";"Nein";"3";"37.5";"2"
"";"";"";"";""
"";"Average";"";"";"1.38"
"";"Standard Deviation";"";"";"0.48"
"";"";"";"";""
"Wie bewerten Sie die Flexibilität des LMS in Bezug auf individuelle Lernbedürfnisse?""
 (n = 8)";"Description";"Rating";"Count";"%"
"";"sehr unflexibel";"1";"0";"0"
"";"";"2";"1";"12.5"
"";"";"3";"4";"50"
"";"";"4";"1";"12.5"
"";"sehr flexibel";"5";"2";"25"
"";"";"";"";""
"";"Average";"3.5";"";""
"";"Standard Deviation";"1";"";""
"";"";"";"";""
"Wie einfach ist es, auf verschiedene Ressourcen im LMS zuzugreifen? (n = 8)";"Description";"Rating";"Count";"%"
"";"sehr schwer";"1";"0";"0"
"";"";"2";"0";"0"
"";"";"3";"2";"25"
"";"";"4";"3";"37.5"
"";"sehr leicht";"5";"3";"37.5"
"";"";"";"";""
"";"Average";"4.13";"";""
"";"Standard Deviation";"0.78";"";""
"";"";"";"";""
"Wie nahtlos integriert das LMS externe Lernmaterialien oder -werkzeuge? (n = 8)";"Description";"Rating";"Count";"%"
"";"sehr schlechte Integration";"1";"0";"0"
"";"";"2";"0";"0"
"";"";"3";"1";"12.5"
"";"";"4";"3";"37.5"
"";"sehr gute Integration";"5";"4";"50"
"";"";"";"";""
"";"Average";"4.38";"";""
"";"Standard Deviation";"0.7";"";""
"";"";"";"";""
"Wie bewerten Sie die Barrierefreiheit und Zugänglichkeit des LMS für alle Lernenden. (n = 8)";"Description";"Rating";"Count";"%"
"";"sehr schlecht";"1";"1";"12.5"
"";"";"2";"0";"0"
"";"";"3";"4";"50"
"";"";"4";"1";"12.5"
"";"sehr gut";"5";"2";"25"
"";"";"";"";""
"";"Average";"3.38";"";""
"";"Standard Deviation";"1.22";"";""
