"Ich bin mit der Teilnahme am 5DCR-Test einverstanden. (n = 14)";"Answer";"Count";"%";"Value";""
"";"Ich stimme zu.";"14";"100";"1";""
"";"Ich nehme nicht teil.";"0";"0";"2";""
"";"";"";"";"";""
"";"Average";"";"";"1";""
"";"Standard Deviation";"";"";"0";""
"";"";"";"";"";""
"Wie sehr sind Sie daran interessiert, neue Dinge zu erkunden? (n = 14)";"Row";"Answer";"Count";"%";"Value"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft nicht zu";"0";"0";"2"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"triff eher nicht zu";"1";"7.14";"3"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"weder noch";"0";"0";"4"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft eher zu";"3";"21.43";"5"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft zu";"6";"42.86";"6"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft voll und ganz zu";"4";"28.57";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.86"
"";"";"Standard Deviation";"";"";"1.06"
"";"";"";"";"";""
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft gar nicht zu";"1";"7.14";"1"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft nicht zu";"0";"0";"2"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"triff eher nicht zu";"1";"7.14";"3"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"weder noch";"5";"35.71";"4"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft eher zu";"6";"42.86";"5"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft zu";"1";"7.14";"6"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.29"
"";"";"Standard Deviation";"";"";"1.16"
"";"";"";"";"";""
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft gar nicht zu";"0";"0";"1"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft nicht zu";"0";"0";"2"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"triff eher nicht zu";"1";"7.14";"3"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"weder noch";"0";"0";"4"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft eher zu";"5";"35.71";"5"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft zu";"4";"28.57";"6"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft voll und ganz zu";"4";"28.57";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.71"
"";"";"Standard Deviation";"";"";"1.1"
"";"";"";"";"";""
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft nicht zu";"0";"0";"2"
"";"Ich finde es faszinierend, Neues zu lernen.";"triff eher nicht zu";"1";"7.14";"3"
"";"Ich finde es faszinierend, Neues zu lernen.";"weder noch";"0";"0";"4"
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft eher zu";"3";"21.43";"5"
