"Ich bin mit der Teilnahme am 5DCR-Test einverstanden. (n = 16)";"Answer";"Count";"%";"Value";""
"";"Ich stimme zu.";"16";"100";"1";""
"";"Ich nehme nicht teil.";"0";"0";"2";""
"";"";"";"";"";""
"";"Average";"";"";"1";""
"";"Standard Deviation";"";"";"0";""
"";"";"";"";"";""
"Wie sehr sind Sie daran interessiert, neue Dinge zu erkunden? (n = 16)";"Row";"Answer";"Count";"%";"Value"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft nicht zu";"0";"0";"2"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"triff eher nicht zu";"0";"0";"3"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"weder noch";"0";"0";"4"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft eher zu";"0";"0";"5"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft zu";"5";"31.25";"6"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft voll und ganz zu";"11";"68.75";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"6.69"
"";"";"Standard Deviation";"";"";"0.46"
"";"";"";"";"";""
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft nicht zu";"0";"0";"2"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"triff eher nicht zu";"0";"0";"3"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"weder noch";"2";"12.5";"4"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft eher zu";"5";"31.25";"5"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft zu";"6";"37.5";"6"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft voll und ganz zu";"3";"18.75";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.63"
"";"";"Standard Deviation";"";"";"0.93"
"";"";"";"";"";""
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft gar nicht zu";"0";"0";"1"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft nicht zu";"0";"0";"2"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"triff eher nicht zu";"0";"0";"3"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"weder noch";"0";"0";"4"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft eher zu";"0";"0";"5"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft zu";"7";"43.75";"6"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft voll und ganz zu";"9";"56.25";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"6.56"
"";"";"Standard Deviation";"";"";"0.5"
"";"";"";"";"";""
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft nicht zu";"0";"0";"2"
"";"Ich finde es faszinierend, Neues zu lernen.";"triff eher nicht zu";"0";"0";"3"
"";"Ich finde es faszinierend, Neues zu lernen.";"weder noch";"0";"0";"4"
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft eher zu";"0";"0";"5"
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft zu";"6";"37.5";"6"
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft voll und ganz zu";"10";"62.5";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"6.63"
"";"";"Standard Deviation";"";"";"0.48"
"";"";"";"";"";""
"Wie stark beeinträchtigt es Sie, keine Lösungen für Probleme zu finden? (n = 16)";"Row";"Answer";"Count";"%";"Value"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"trifft gar nicht zu";"0";"0";"1"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"trifft nicht zu";"3";"18.75";"2"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"triff eher nicht zu";"8";"50";"3"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"weder noch";"0";"0";"4"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"trifft eher zu";"4";"25";"5"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"trifft zu";"1";"6.25";"6"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"3.5"
"";"";"Standard Deviation";"";"";"1.22"
"";"";"";"";"";""
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"trifft gar nicht zu";"1";"6.25";"1"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"trifft nicht zu";"3";"18.75";"2"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"triff eher nicht zu";"2";"12.5";"3"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"weder noch";"5";"31.25";"4"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"trifft eher zu";"5";"31.25";"5"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"trifft zu";"0";"0";"6"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"3.63"
"";"";"Standard Deviation";"";"";"1.27"
"";"";"";"";"";""
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"trifft gar nicht zu";"0";"0";"1"
