Sonntag, 9. November 2025, 22:52;;;;;;;;
Ausgefüllte Feedbacks: 58;;;;;;;;
Fragen: 46;;;;;;;;
;;;;;;;;
Bezeichner;Frage;Antworten;;;;;;
;Diese Berufliche Handlungssituation gefällt mir generell gut.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;9;39;7;3;0;0;2,068965517
;Die Lernatmosphäre ist angenehm.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;8;22;20;6;2;0;2,517241379
;Das Lernen macht mir Spaß.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;13;23;17;4;1;0;2,25862069
;Ich finde die Bearbeitung für meinen Beruf nützlich.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;22;23;10;2;1;0;1,913793103
;Zeit in die Bearbeitung zu investieren ist sinnvoll.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;23;24;7;2;1;0;1,810344828
;Ich kann die Bearbeitungsinhalte in meinem Beruf anwenden.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;15;30;10;3;0;0;2,017241379
;Ich ziehe persönlichen Nutzen aus der Bearbeitung.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;20;23;9;3;3;0;2,068965517
