Montag, 10. November 2025, 17:47;;;;;;;;
Ausgefüllte Feedbacks: 17;;;;;;;;
Fragen: 46;;;;;;;;
;;;;;;;;
Bezeichner;Frage;Antworten;;;;;;
;Diese Berufliche Handlungssituation gefällt mir generell gut.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;11;3;3;0;0;0;1,529411765
;Die Lernatmosphäre ist angenehm.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;1;10;4;2;0;0;2,411764706
;Das Lernen macht mir Spaß.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;6;10;1;0;0;0;1,705882353
;Ich finde die Bearbeitung für meinen Beruf nützlich.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;15;1;1;0;0;0;1,176470588
;Zeit in die Bearbeitung zu investieren ist sinnvoll.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;14;2;1;0;0;0;1,235294118
;Ich kann die Bearbeitungsinhalte in meinem Beruf anwenden.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;13;3;1;0;0;0;1,294117647
;Ich ziehe persönlichen Nutzen aus der Bearbeitung.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;10;6;1;0;0;0;1,470588235
